threshold,config,n,citation_precision_mean,bibliography_match_rate_mean,orphan_rate_mean
0.6,M1,251,0.6234348321001708,0.6235059760956175,0.3809760956175299
0.6,M2a,251,0.6285998861696073,0.6291974957313603,0.37250996015936255
0.6,M2b,251,0.6319958262189338,0.6313318155947638,0.37350597609561753
0.6,M2c,251,0.5526228419654714,0.6165338645418327,0.7191235059760956
0.72,M1,251,0.6184547524188959,0.6185258964143426,0.38595617529880477
0.72,M2a,251,0.6236198064883323,0.6242174160500854,0.37749003984063745
0.72,M2b,251,0.6265177385695314,0.6258537279453614,0.3789840637450199
0.72,M2c,251,0.5509628154050464,0.6135458167330677,0.7201195219123506
0.8,M1,251,0.6153244166192373,0.6155378486055777,0.3889442231075697
0.8,M2a,251,0.6206317586795673,0.6212293682413205,0.3804780876494024
0.8,M2b,251,0.6235296907607665,0.6228656801365965,0.38197211155378485
0.8,M2c,251,0.5473107569721115,0.6105577689243028,0.7216135458167331
0.9,M1,251,0.6148264086511098,0.6150398406374502,0.3894422310756972
0.9,M2a,251,0.6201337507114398,0.620731360273193,0.3809760956175299
0.9,M2b,251,0.623031682792639,0.622367672168469,0.38247011952191234
0.9,M2c,251,0.5466467463479415,0.6100597609561753,0.7221115537848606
1.0,M1,251,0.6138303927148548,0.6140438247011952,0.3904382470119522
1.0,M2a,251,0.6191377347751849,0.619735344336938,0.38197211155378485
1.0,M2b,251,0.6225336748245115,0.6218696642003415,0.38296812749003983
1.0,M2c,251,0.5466467463479415,0.6100597609561753,0.7221115537848606
