config,qid,citation_precision,bibliography_match_rate,orphan_rate,total_citations,bibliography_entries,candidate_pool_size,path
M2a,Q248,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2a\Q248_method2a_exp_20260413_175710.md
M2a,Q249,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2a\Q249_method2a_exp_20260413_180004.md
M2a,Q24,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2a\Q24_method2a_exp_20260412_235425.md
M2a,Q250,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2a\Q250_method2a_exp_20260413_180259.md
M2a,Q251,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2a\Q251_method2a_exp_20260413_180541.md
M2a,Q25,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2a\Q25_method2a_exp_20260412_235746.md
M2a,Q26,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method2a\Q26_method2a_exp_20260413_000054.md
M2a,Q27,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2a\Q27_method2a_exp_20260413_000411.md
M2a,Q28,0.375,0.375,0.625,8,8,8,data\expanded_outputs\method2a\Q28_method2a_exp_20260413_000739.md
M2a,Q29,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2a\Q29_method2a_exp_20260413_001056.md
M2a,Q30,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2a\Q30_method2a_exp_20260412_224936.md
M2a,Q31,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2a\Q31_method2a_exp_20260413_001424.md
M2a,Q32,0.0,0.0,1.0,8,0,8,data\expanded_outputs\method2a\Q32_method2a_exp_20260413_001725.md
M2a,Q33,0.875,0.875,0.125,8,8,8,data\expanded_outputs\method2a\Q33_method2a_exp_20260413_002016.md
M2a,Q34,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2a\Q34_method2a_exp_20260413_002307.md
M2a,Q35,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2a\Q35_method2a_exp_20260413_002555.md
M2a,Q36,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2a\Q36_method2a_exp_20260413_002817.md
M2a,Q37,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method2a\Q37_method2a_exp_20260413_003134.md
M2a,Q38,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2a\Q38_method2a_exp_20260413_003431.md
M2a,Q39,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2a\Q39_method2a_exp_20260413_003814.md
M2a,Q40,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2a\Q40_method2a_exp_20260413_004053.md
M2a,Q41,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method2a\Q41_method2a_exp_20260413_004328.md
M2a,Q42,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2a\Q42_method2a_exp_20260413_004635.md
M2a,Q43,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2a\Q43_method2a_exp_20260413_004932.md
M2a,Q44,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2a\Q44_method2a_exp_20260413_005231.md
M2a,Q45,0.375,0.375,0.625,8,8,8,data\expanded_outputs\method2a\Q45_method2a_exp_20260413_005526.md
M2a,Q46,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method2a\Q46_method2a_exp_20260413_005813.md
M2a,Q47,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2a\Q47_method2a_exp_20260413_094750.md
M2a,Q48,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2a\Q48_method2a_exp_20260413_075250.md
M2a,Q49,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2a\Q49_method2a_exp_20260413_075547.md
M2a,Q50,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2a\Q50_method2a_exp_20260413_075756.md
M2a,Q51,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2a\Q51_method2a_exp_20260413_080024.md
M2a,Q52,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2a\Q52_method2a_exp_20260413_080237.md
M2a,Q53,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2a\Q53_method2a_exp_20260413_080507.md
M2a,Q54,0.25,0.25,0.75,8,8,8,data\expanded_outputs\method2a\Q54_method2a_exp_20260413_080753.md
M2a,Q55,0.375,0.375,0.625,8,8,8,data\expanded_outputs\method2a\Q55_method2a_exp_20260413_081023.md
M2a,Q56,0.875,0.875,0.125,8,8,8,data\expanded_outputs\method2a\Q56_method2a_exp_20260413_081310.md
M2a,Q57,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2a\Q57_method2a_exp_20260413_081604.md
M2a,Q58,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2a\Q58_method2a_exp_20260413_081830.md
M2a,Q59,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2a\Q59_method2a_exp_20260413_082023.md
M2a,Q60,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method2a\Q60_method2a_exp_20260413_082243.md
M2b,Q01,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q01_method2b_exp_20260412_225225.md
M2b,Q02,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q02_method2b_exp_20260412_225529.md
M2b,Q03,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q03_method2b_exp_20260412_225850.md
M2b,Q04,0.375,0.375,0.625,8,8,8,data\expanded_outputs\method2b\Q04_method2b_exp_20260412_230226.md
M2b,Q05,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q05_method2b_exp_20260412_230553.md
M2b,Q61,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q061_method2b_exp_20260413_085952.md
M2b,Q62,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q062_method2b_exp_20260413_090336.md
M2b,Q63,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q063_method2b_exp_20260413_090630.md
M2b,Q64,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q064_method2b_exp_20260413_090950.md
M2b,Q65,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q065_method2b_exp_20260413_091304.md
M2b,Q66,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q066_method2b_exp_20260413_091635.md
M2b,Q67,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q067_method2b_exp_20260413_091952.md
M2b,Q68,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q068_method2b_exp_20260413_092322.md
M2b,Q69,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method2b\Q069_method2b_exp_20260413_092611.md
M2b,Q06,0.875,0.875,0.125,8,8,8,data\expanded_outputs\method2b\Q06_method2b_exp_20260412_231045.md
M2b,Q70,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q070_method2b_exp_20260413_092904.md
M2b,Q71,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q071_method2b_exp_20260413_093223.md
M2b,Q72,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q072_method2b_exp_20260413_093516.md
M2b,Q73,0.875,0.875,0.125,8,8,8,data\expanded_outputs\method2b\Q073_method2b_exp_20260413_093729.md
M2b,Q74,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method2b\Q074_method2b_exp_20260413_094007.md
M2b,Q75,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method2b\Q075_method2b_exp_20260413_094337.md
M2b,Q76,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method2b\Q076_method2b_exp_20260413_094647.md
M2b,Q77,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method2b\Q077_method2b_exp_20260413_095150.md
M2b,Q78,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q078_method2b_exp_20260413_095441.md
M2b,Q79,0.875,0.875,0.125,8,8,8,data\expanded_outputs\method2b\Q079_method2b_exp_20260413_095726.md
M2b,Q07,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q07_method2b_exp_20260412_231413.md
M2b,Q80,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method2b\Q080_method2b_exp_20260413_100021.md
M2b,Q81,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method2b\Q081_method2b_exp_20260413_100328.md
