config,raw_files,deduplicated_queries,bibliography_entries_mean,bibliography_entries_sd,bibliography_entries_median,bibliography_entries_q1,bibliography_entries_q3,bibliography_entries_min,bibliography_entries_max,citations_per_output_mean,citations_per_output_sd,citations_per_output_median,citations_per_output_q1,citations_per_output_q3,citations_per_output_min,citations_per_output_max,output_length_chars_mean,output_length_chars_sd,output_length_chars_median,output_length_chars_q1,output_length_chars_q3,output_length_chars_min,output_length_chars_max,citation_density_per_bib_mean,citation_density_per_bib_sd,citation_density_per_bib_median,citation_density_per_bib_q1,citation_density_per_bib_q3,citation_density_per_bib_min,citation_density_per_bib_max
M1,416,251,7.904382470119522,0.8711031610156595,8.0,8.0,8.0,0.0,8.0,47.322709163346616,13.028102019522096,46.0,39.0,55.0,22.0,106.0,1870.7131474103585,303.3112153983993,1865.0,1668.0,2048.0,1174.0,3381.0,5.912298387096774,1.6292555488314895,5.75,4.875,6.875,2.75,13.25
M2a,414,251,7.964143426294821,0.5086346069101212,8.0,8.0,8.0,0.0,8.0,52.62948207171315,15.832187698820315,51.0,41.0,62.0,17.0,111.0,1664.6852589641435,315.31953403148475,1671.0,1398.0,1888.5,970.0,2863.0,6.5851428571428565,1.9790222472209582,6.375,5.125,7.75,2.125,13.875
M2b,373,251,7.940239043824701,0.5730744651696514,8.0,8.0,8.0,0.0,8.0,51.52589641434263,15.48503557287574,50.0,41.0,59.5,17.0,99.0,1509.231075697211,286.58222273971955,1493.0,1302.0,1700.0,818.0,2270.0,6.463214285714285,1.9486955314888772,6.375,5.125,7.5,2.125,12.375
M2c,410,251,8.0,0.0,8.0,8.0,8.0,8.0,8.0,4.442231075697211,2.6891726241337572,4.0,3.0,6.0,0.0,17.0,744.0398406374502,93.93784331340859,728.0,683.0,788.0,550.0,1142.0,0.5552788844621513,0.33614657801671965,0.5,0.375,0.75,0.0,2.125
