analysis,n_response_rows,n_ordinal_observations,contrast,log_odds,odds_ratio,se,z,p,ci95_low,ci95_high
complete_case_primary,298,894,M2b vs M1,0.21170545753082293,1.2357838406440698,0.2432225883243366,0.8704185700405191,0.38407170199322915,0.7671976522396583,1.9905713949186468
complete_case_primary,298,894,M2a vs M1,0.40013008263062544,1.4920187707448678,0.25810166363819054,1.5502809125303887,0.12107410661746883,0.8996502717693551,2.474428210727802
complete_case_primary,298,894,M2a vs M2b,0.1884246250998025,1.2073460759668557,0.244267930235287,0.7713850316670946,0.44047874463649306,0.748008813620957,1.9487531705625414
imputed_sensitivity,300,900,M2b vs M1,0.21911126694947977,1.2449697929723045,0.24272450197827453,0.9027158987397642,0.36667669624469446,0.7736553746569099,2.003411126175984
imputed_sensitivity,300,900,M2a vs M1,0.4109381271595814,1.508232035071035,0.2569617711668932,1.5992189238635135,0.10977196693353344,0.9114605698513335,2.4957348094449636
imputed_sensitivity,300,900,M2a vs M2b,0.19182686021010162,1.211460746746477,0.2426888150249127,0.7904231605828642,0.4292806806581779,0.7528846747916468,1.9493518596505968
